date,Snow,Precipitation_per_day(mm),Average_daily_tempeture(F),Maximum_daily_tempeture(F),Minimum_daily_tempeture(F),Maximum_daily_tempeture(C),Minimum_daily_tempeture(C),Average_daily_tempeture(C)
2020-01-31,0.0,0.0,36.0,42.0,30.0,6.666666666666667,0.0,3.3333333333333335
2020-02-01,0.0,0.0,38.0,46.0,30.0,8.88888888888889,0.0,4.444444444444445
2020-02-02,0.0,0.09,41.5,50.0,33.0,11.11111111111111,1.6666666666666667,6.388888888888889
2020-02-03,0.0,0.01,48.5,58.0,39.0,15.555555555555555,5.0,10.277777777777779
2020-02-04,0.0,0.04,52.0,65.0,39.0,19.444444444444443,5.0,12.222222222222221
2020-02-05,0.0,0.03,55.5,66.0,45.0,20.0,8.333333333333334,14.166666666666666
2020-02-06,0.0,0.17,41.5,45.0,38.0,8.333333333333334,4.444444444444445,6.388888888888889
2020-02-07,0.0,0.95,53.0,65.0,41.0,19.444444444444443,6.111111111111111,12.777777777777779
2020-02-08,0.0,0.39,48.0,65.0,31.0,19.444444444444443,0.5555555555555556,10.0
2020-02-09,0.0,0.0,36.5,45.0,28.0,8.333333333333334,-1.1111111111111112,3.611111111111111
2020-02-10,0.0,0.11,42.0,50.0,34.0,11.11111111111111,2.2222222222222223,6.666666666666667
2020-02-11,0.0,0.85,50.0,57.0,43.0,15.0,7.222222222222222,11.11111111111111
2020-02-12,0.0,0.13,52.0,63.0,41.0,18.333333333333332,6.111111111111111,12.222222222222221
2020-02-13,0.0,0.28,45.0,50.0,40.0,11.11111111111111,5.555555555555555,8.333333333333334
2020-02-14,0.0,0.15,49.0,60.0,38.0,16.666666666666668,4.444444444444445,10.555555555555555
2020-02-15,0.0,0.0,29.5,39.0,20.0,5.0,-5.555555555555555,-0.2777777777777778
2020-02-16,0.0,0.0,31.0,38.0,24.0,4.444444444444445,-3.3333333333333335,0.5555555555555556
2020-02-17,0.0,0.0,44.0,54.0,34.0,13.333333333333334,2.2222222222222223,7.777777777777778
2020-02-18,0.0,0.0,46.0,55.0,37.0,13.88888888888889,3.888888888888889,8.88888888888889
2020-02-19,0.0,0.03,50.0,59.0,41.0,16.11111111111111,6.111111111111111,11.11111111111111
2020-02-20,0.0,0.0,42.0,54.0,30.0,13.333333333333334,0.0,6.666666666666667
2020-02-21,0.0,0.0,32.0,40.0,24.0,5.555555555555555,-3.3333333333333335,1.1111111111111112
2020-02-22,0.0,0.0,32.5,40.0,25.0,5.555555555555555,-2.7777777777777777,1.3888888888888888
2020-02-23,0.0,0.0,40.0,55.0,25.0,13.88888888888889,-2.7777777777777777,5.555555555555555
2020-02-24,0.0,0.0,45.0,60.0,30.0,16.666666666666668,0.0,8.333333333333334
2020-02-25,0.0,0.1,46.5,62.0,31.0,17.77777777777778,0.5555555555555556,9.166666666666666
2020-02-26,0.0,0.18,51.0,55.0,47.0,13.88888888888889,9.444444444444445,11.666666666666666
2020-02-27,0.0,0.27,45.5,53.0,38.0,12.777777777777779,4.444444444444445,8.61111111111111
2020-02-28,0.0,0.0,37.5,44.0,31.0,7.777777777777778,0.5555555555555556,4.166666666666667
2020-02-29,0.0,0.0,38.5,47.0,30.0,9.444444444444445,0.0,4.722222222222222
2020-03-01,0.0,0.0,31.5,38.0,25.0,4.444444444444445,-2.7777777777777777,0.8333333333333334
2020-03-02,0.0,0.0,42.0,51.0,33.0,11.666666666666666,1.6666666666666667,6.666666666666667
2020-03-03,0.0,0.07,54.5,66.0,43.0,20.0,7.222222222222222,13.61111111111111
2020-03-04,0.0,0.09,54.0,65.0,43.0,19.444444444444443,7.222222222222222,13.333333333333334
2020-03-05,0.0,0.0,51.0,65.0,37.0,19.444444444444443,3.888888888888889,11.666666666666666
2020-03-06,0.0,0.0,44.5,55.0,34.0,13.88888888888889,2.2222222222222223,8.055555555555555
2020-03-07,0.0,0.0,45.0,53.0,37.0,12.777777777777779,3.888888888888889,8.333333333333334
2020-03-08,0.0,0.0,42.0,54.0,30.0,13.333333333333334,0.0,6.666666666666667
2020-03-09,0.0,0.0,46.0,62.0,30.0,17.77777777777778,0.0,8.88888888888889
2020-03-10,0.0,0.0,58.0,74.0,42.0,24.444444444444443,6.666666666666667,15.555555555555555
2020-03-11,0.0,0.03,57.0,72.0,42.0,23.333333333333332,6.666666666666667,15.0
2020-03-12,0.0,0.0,49.5,56.0,43.0,14.444444444444445,7.222222222222222,10.833333333333334
2020-03-13,0.0,0.27,55.5,63.0,48.0,18.333333333333332,10.0,14.166666666666666
2020-03-14,0.0,0.0,60.0,75.0,45.0,25.0,8.333333333333334,16.666666666666668
2020-03-15,0.0,0.25,48.5,58.0,39.0,15.555555555555555,5.0,10.277777777777779
2020-03-16,0.0,0.0,43.0,51.0,35.0,11.666666666666666,2.7777777777777777,7.222222222222222
2020-03-17,0.0,0.0,46.0,55.0,37.0,13.88888888888889,3.888888888888889,8.88888888888889
2020-03-18,0.0,0.0,53.0,66.0,40.0,20.0,5.555555555555555,12.777777777777779
2020-03-19,0.0,0.56,49.5,58.0,41.0,15.555555555555555,6.111111111111111,10.833333333333334
2020-03-20,0.0,0.02,62.5,73.0,52.0,23.88888888888889,12.222222222222221,18.055555555555557
2020-03-21,0.0,0.1,66.0,82.0,50.0,28.88888888888889,11.11111111111111,20.0
2020-03-22,0.0,0.01,46.5,55.0,38.0,13.88888888888889,4.444444444444445,9.166666666666666
2020-03-23,0.0,0.15,46.0,53.0,39.0,12.777777777777779,5.0,8.88888888888889
2020-03-24,0.0,0.27,44.5,48.0,41.0,10.0,6.111111111111111,8.055555555555555
2020-03-25,0.0,0.11,48.5,55.0,42.0,13.88888888888889,6.666666666666667,10.277777777777779
2020-03-26,0.0,0.22,46.0,50.0,42.0,11.11111111111111,6.666666666666667,8.88888888888889
2020-03-27,0.0,0.0,51.5,60.0,43.0,16.666666666666668,7.222222222222222,11.944444444444445
2020-03-28,0.0,0.3,59.5,70.0,49.0,22.22222222222222,10.555555555555555,16.38888888888889
2020-03-29,0.0,0.12,54.5,59.0,50.0,16.11111111111111,11.11111111111111,13.61111111111111
2020-03-30,0.0,0.0,61.0,71.0,51.0,22.77777777777778,11.666666666666666,17.22222222222222
2020-03-31,0.0,0.0,62.0,75.0,49.0,25.0,10.555555555555555,17.77777777777778
2020-04-01,0.0,0.13,48.5,56.0,41.0,14.444444444444445,6.111111111111111,10.277777777777779
2020-04-02,0.0,0.0,49.0,56.0,42.0,14.444444444444445,6.666666666666667,10.555555555555555
2020-04-03,0.0,0.0,52.5,63.0,42.0,18.333333333333332,6.666666666666667,12.5
2020-04-04,0.0,0.01,58.5,69.0,48.0,21.666666666666668,10.0,15.833333333333334
2020-04-05,0.0,0.0,52.5,59.0,46.0,16.11111111111111,8.88888888888889,12.5
2020-04-06,0.0,0.0,60.0,70.0,50.0,22.22222222222222,11.11111111111111,16.666666666666668
2020-04-07,0.0,0.01,60.5,72.0,49.0,23.333333333333332,10.555555555555555,16.944444444444443
2020-04-08,0.0,0.26,64.5,73.0,56.0,23.88888888888889,14.444444444444445,19.166666666666668
2020-04-09,0.0,0.15,66.0,79.0,53.0,27.22222222222222,12.777777777777779,20.0
2020-04-10,0.0,0.02,57.0,71.0,43.0,22.77777777777778,7.222222222222222,15.0
2020-04-11,0.0,0.0,43.5,52.0,35.0,12.222222222222221,2.7777777777777777,7.5
2020-04-12,0.0,0.0,52.0,63.0,41.0,18.333333333333332,6.111111111111111,12.222222222222221
2020-04-13,0.0,2.3,60.5,73.0,48.0,23.88888888888889,10.0,16.944444444444443
2020-04-14,0.0,0.74,64.0,81.0,47.0,28.333333333333332,9.444444444444445,18.88888888888889
2020-04-15,0.0,0.34,48.5,59.0,38.0,16.11111111111111,4.444444444444445,10.277777777777779
2020-04-16,0.0,0.0,47.5,55.0,40.0,13.88888888888889,5.555555555555555,9.722222222222221
2020-04-17,0.0,0.0,44.5,54.0,35.0,13.333333333333334,2.7777777777777777,8.055555555555555
2020-04-18,0.0,0.07,48.0,59.0,37.0,16.11111111111111,3.888888888888889,10.0
2020-04-19,0.0,0.04,45.0,55.0,35.0,13.88888888888889,2.7777777777777777,8.333333333333334
2020-04-20,0.0,0.0,55.0,66.0,44.0,20.0,7.777777777777778,13.88888888888889
2020-04-21,0.0,0.0,55.5,63.0,48.0,18.333333333333332,10.0,14.166666666666666
2020-04-22,0.0,0.0,51.0,66.0,36.0,20.0,3.3333333333333335,11.666666666666666
2020-04-23,0.0,0.0,52.5,62.0,43.0,17.77777777777778,7.222222222222222,12.5
2020-04-24,0.0,1.29,55.5,59.0,52.0,16.11111111111111,12.222222222222221,14.166666666666666
2020-04-25,0.0,0.04,52.5,60.0,45.0,16.666666666666668,8.333333333333334,12.5
2020-04-26,0.0,0.31,55.5,66.0,45.0,20.0,8.333333333333334,14.166666666666666
2020-04-27,0.0,0.14,51.0,58.0,44.0,15.555555555555555,7.777777777777778,11.666666666666666
2020-04-28,0.0,0.0,49.5,59.0,40.0,16.11111111111111,5.555555555555555,10.833333333333334
2020-04-29,0.0,0.01,52.0,59.0,45.0,16.11111111111111,8.333333333333334,12.222222222222221
2020-04-30,0.0,0.0,68.5,78.0,59.0,26.666666666666668,16.11111111111111,21.38888888888889
2020-05-01,0.0,1.15,59.5,66.0,53.0,20.0,12.777777777777779,16.38888888888889
2020-05-02,0.0,0.08,58.5,66.0,51.0,20.0,11.666666666666666,15.833333333333334
2020-05-03,0.0,0.0,63.0,73.0,53.0,23.88888888888889,12.777777777777779,18.333333333333332
2020-05-04,0.0,1.3,69.5,78.0,61.0,26.666666666666668,17.22222222222222,21.944444444444443
2020-05-05,0.0,0.0,62.0,75.0,49.0,25.0,10.555555555555555,17.77777777777778
2020-05-06,0.0,0.29,54.0,59.0,49.0,16.11111111111111,10.555555555555555,13.333333333333334
2020-05-07,0.0,0.5,50.0,57.0,43.0,15.0,7.222222222222222,11.11111111111111
2020-05-08,0.0,0.0,55.5,68.0,43.0,21.11111111111111,7.222222222222222,14.166666666666666
2020-05-09,0.0,0.15,52.0,67.0,37.0,20.555555555555557,3.888888888888889,12.222222222222221
2020-05-10,0.0,0.01,41.5,50.0,33.0,11.11111111111111,1.6666666666666667,6.388888888888889
2020-05-11,0.0,0.02,55.5,66.0,45.0,20.0,8.333333333333334,14.166666666666666
2020-05-12,0.0,0.0,52.5,62.0,43.0,17.77777777777778,7.222222222222222,12.5
2020-05-13,0.0,0.0,51.5,64.0,39.0,18.88888888888889,5.0,11.944444444444445
2020-05-14,0.0,0.0,58.5,72.0,45.0,23.333333333333332,8.333333333333334,15.833333333333334
2020-05-15,0.0,0.04,64.0,72.0,56.0,23.333333333333332,14.444444444444445,18.88888888888889
2020-05-16,0.0,0.0,77.0,87.0,67.0,31.666666666666668,20.555555555555557,26.11111111111111
2020-05-17,0.0,0.0,72.0,85.0,59.0,30.555555555555557,16.11111111111111,23.333333333333332
2020-05-18,0.0,0.0,61.5,68.0,55.0,21.11111111111111,13.88888888888889,17.5
2020-05-19,0.0,0.0,62.5,69.0,56.0,21.666666666666668,14.444444444444445,18.055555555555557
2020-05-20,0.0,0.0,61.0,70.0,52.0,22.22222222222222,12.222222222222221,17.22222222222222
2020-05-21,0.0,0.0,56.5,64.0,49.0,18.88888888888889,10.555555555555555,14.722222222222221
2020-05-22,0.0,0.33,62.0,74.0,50.0,24.444444444444443,11.11111111111111,17.77777777777778
2020-05-23,0.0,0.71,69.5,77.0,62.0,26.11111111111111,17.77777777777778,21.944444444444443
2020-05-24,0.0,0.02,71.5,84.0,59.0,30.0,16.11111111111111,23.055555555555557
2020-05-25,0.0,0.0,64.0,69.0,59.0,21.666666666666668,16.11111111111111,18.88888888888889
2020-05-26,0.0,0.0,67.5,78.0,57.0,26.666666666666668,15.0,20.833333333333332
2020-05-27,0.0,0.0,72.0,81.0,63.0,28.333333333333332,18.333333333333332,23.333333333333332
2020-05-28,0.0,0.02,73.5,82.0,65.0,28.88888888888889,19.444444444444443,24.166666666666668
2020-05-29,0.0,0.09,77.0,82.0,72.0,28.88888888888889,23.333333333333332,26.11111111111111
2020-05-30,0.0,0.0,77.5,87.0,68.0,31.666666666666668,21.11111111111111,26.38888888888889
2020-05-31,0.0,0.0,71.5,85.0,58.0,30.555555555555557,15.555555555555555,23.055555555555557
2020-06-01,0.0,0.0,68.0,85.0,51.0,30.555555555555557,11.666666666666666,21.11111111111111
2020-06-02,0.0,0.0,65.0,74.0,56.0,24.444444444444443,14.444444444444445,19.444444444444443
2020-06-03,0.0,0.0,69.5,78.0,61.0,26.666666666666668,17.22222222222222,21.944444444444443
2020-06-04,0.0,0.0,81.5,93.0,70.0,35.0,22.22222222222222,28.61111111111111
2020-06-05,0.0,1.19,81.5,93.0,70.0,35.0,22.22222222222222,28.61111111111111
2020-06-06,0.0,1.63,81.0,90.0,72.0,33.333333333333336,23.333333333333332,28.333333333333332
2020-06-07,0.0,0.07,76.5,90.0,63.0,33.333333333333336,18.333333333333332,25.833333333333332
2020-06-08,0.0,0.0,72.0,83.0,61.0,29.444444444444443,17.22222222222222,23.333333333333332
2020-06-09,0.0,0.0,72.0,83.0,61.0,29.444444444444443,17.22222222222222,23.333333333333332
2020-06-10,0.0,0.0,83.0,92.0,74.0,34.44444444444444,24.444444444444443,29.444444444444443
2020-06-11,0.0,0.24,84.0,92.0,76.0,34.44444444444444,25.555555555555557,30.0
2020-06-12,0.0,0.42,77.0,86.0,68.0,31.11111111111111,21.11111111111111,26.11111111111111
2020-06-13,0.0,,,,,,,
2020-06-14,0.0,,,,,,,
2020-06-15,0.0,0.0,69.5,79.0,60.0,27.22222222222222,16.666666666666668,21.944444444444443
2020-06-16,0.0,0.0,69.0,79.0,59.0,27.22222222222222,16.11111111111111,21.666666666666668
2020-06-17,0.0,0.0,71.5,79.0,64.0,27.22222222222222,18.88888888888889,23.055555555555557
2020-06-18,0.0,0.54,68.5,72.0,65.0,23.333333333333332,19.444444444444443,21.38888888888889
2020-06-19,0.0,,,,,,,
2020-06-20,0.0,0.07,75.0,84.0,66.0,30.0,20.0,25.0
2020-06-21,0.0,0.34,73.5,79.0,68.0,27.22222222222222,21.11111111111111,24.166666666666668
2020-06-22,0.0,0.0,77.0,85.0,69.0,30.555555555555557,21.666666666666668,26.11111111111111
2020-06-23,0.0,0.0,80.0,92.0,68.0,34.44444444444444,21.11111111111111,27.77777777777778
2020-06-24,0.0,0.0,81.5,90.0,73.0,33.333333333333336,23.88888888888889,28.61111111111111
2020-06-25,0.0,0.0,76.5,86.0,67.0,31.11111111111111,20.555555555555557,25.833333333333332
2020-06-26,0.0,0.3,74.5,86.0,63.0,31.11111111111111,18.333333333333332,24.72222222222222
2020-06-27,0.0,0.01,80.5,88.0,73.0,32.22222222222222,23.88888888888889,28.055555555555557
2020-06-28,0.0,0.4,82.0,93.0,71.0,35.0,22.77777777777778,28.88888888888889
2020-06-29,0.0,0.0,81.0,88.0,74.0,32.22222222222222,24.444444444444443,28.333333333333332
2020-06-30,0.0,0.0,81.0,92.0,70.0,34.44444444444444,22.22222222222222,28.333333333333332
2020-07-01,0.0,0.0,81.5,92.0,71.0,34.44444444444444,22.77777777777778,28.61111111111111
2020-07-02,0.0,0.0,78.5,90.0,67.0,33.333333333333336,20.555555555555557,26.944444444444443
2020-07-03,0.0,0.0,82.0,92.0,72.0,34.44444444444444,23.333333333333332,28.88888888888889
2020-07-04,0.0,0.0,84.5,97.0,72.0,37.22222222222222,23.333333333333332,30.27777777777778
2020-07-05,0.0,0.0,84.0,93.0,75.0,35.0,25.0,30.0
2020-07-06,0.0,0.0,85.5,95.0,76.0,36.111111111111114,25.555555555555557,30.833333333333332
2020-07-07,0.0,2.44,82.5,95.0,70.0,36.111111111111114,22.22222222222222,29.166666666666668
2020-07-08,0.0,0.05,82.0,91.0,73.0,33.888888888888886,23.88888888888889,28.88888888888889
2020-07-09,0.0,0.0,82.5,93.0,72.0,35.0,23.333333333333332,29.166666666666668
2020-07-10,0.0,0.0,83.5,92.0,75.0,34.44444444444444,25.0,29.72222222222222
2020-07-11,0.0,0.0,82.5,90.0,75.0,33.333333333333336,25.0,29.166666666666668
2020-07-12,0.0,0.0,80.0,92.0,68.0,34.44444444444444,21.11111111111111,27.77777777777778
2020-07-13,0.0,0.0,80.5,92.0,69.0,34.44444444444444,21.666666666666668,28.055555555555557
2020-07-14,0.0,0.05,79.5,91.0,68.0,33.888888888888886,21.11111111111111,27.5
2020-07-15,0.0,0.0,80.5,92.0,69.0,34.44444444444444,21.666666666666668,28.055555555555557
2020-07-16,0.0,0.0,83.0,92.0,74.0,34.44444444444444,24.444444444444443,29.444444444444443
2020-07-17,0.0,0.0,81.0,88.0,74.0,32.22222222222222,24.444444444444443,28.333333333333332
2020-07-18,0.0,0.0,86.5,98.0,75.0,37.77777777777778,25.0,31.38888888888889
2020-07-19,0.0,0.0,86.5,98.0,75.0,37.77777777777778,25.0,31.38888888888889
2020-07-20,0.0,0.0,90.5,100.0,81.0,38.888888888888886,28.333333333333332,33.611111111111114
2020-07-21,0.0,0.0,88.5,100.0,77.0,38.888888888888886,26.11111111111111,32.5
2020-07-22,0.0,0.17,86.0,98.0,74.0,37.77777777777778,24.444444444444443,31.11111111111111
2020-07-23,0.0,0.52,85.0,97.0,73.0,37.22222222222222,23.88888888888889,30.555555555555557
2020-07-24,0.0,1.7,84.0,94.0,74.0,35.55555555555556,24.444444444444443,30.0
2020-07-25,0.0,0.05,78.5,86.0,71.0,31.11111111111111,22.77777777777778,26.944444444444443
2020-07-26,0.0,0.02,84.5,92.0,77.0,34.44444444444444,26.11111111111111,30.27777777777778
2020-07-27,0.0,0.0,85.0,95.0,75.0,36.111111111111114,25.0,30.555555555555557
2020-07-28,0.0,0.0,86.5,96.0,77.0,36.666666666666664,26.11111111111111,31.38888888888889
2020-07-29,0.0,0.0,83.0,93.0,73.0,35.0,23.88888888888889,29.444444444444443
2020-07-30,0.0,0.0,84.5,93.0,76.0,35.0,25.555555555555557,30.27777777777778
2020-07-31,0.0,0.22,84.0,95.0,73.0,36.111111111111114,23.88888888888889,30.0
2020-08-01,0.0,0.1,76.0,80.0,72.0,27.77777777777778,23.333333333333332,25.555555555555557
2020-08-02,0.0,,,,,,,
2020-08-03,0.0,,84.5,93.0,76.0,35.0,25.555555555555557,30.27777777777778
2020-08-04,0.0,2.83,80.0,89.0,71.0,32.77777777777778,22.77777777777778,27.77777777777778
2020-08-05,0.0,1.11,78.0,87.0,69.0,31.666666666666668,21.666666666666668,26.666666666666668
2020-08-06,0.0,0.2,80.5,90.0,71.0,33.333333333333336,22.77777777777778,28.055555555555557
2020-08-07,0.0,0.0,78.5,86.0,71.0,31.11111111111111,22.77777777777778,26.944444444444443
2020-08-08,0.0,0.04,80.5,89.0,72.0,32.77777777777778,23.333333333333332,28.055555555555557
2020-08-09,0.0,0.0,79.5,87.0,72.0,31.666666666666668,23.333333333333332,27.5
2020-08-10,0.0,0.43,82.5,90.0,75.0,33.333333333333336,25.0,29.166666666666668
2020-08-11,0.0,0.1,84.0,93.0,75.0,35.0,25.0,30.0
2020-08-12,0.0,0.25,83.5,92.0,75.0,34.44444444444444,25.0,29.72222222222222
2020-08-13,0.0,0.31,84.0,93.0,75.0,35.0,25.0,30.0
2020-08-14,0.0,,,,,,,
2020-08-15,0.0,,81.5,90.0,73.0,33.333333333333336,23.88888888888889,28.61111111111111
2020-08-16,0.0,,,,,,,
2020-08-17,0.0,,71.5,80.0,63.0,27.77777777777778,18.333333333333332,23.055555555555557
2020-08-18,0.0,0.94,75.0,85.0,65.0,30.555555555555557,19.444444444444443,25.0
2020-08-19,0.0,0.37,77.0,86.0,68.0,31.11111111111111,21.11111111111111,26.11111111111111
2020-08-20,0.0,0.03,74.5,85.0,64.0,30.555555555555557,18.88888888888889,24.72222222222222
2020-08-21,0.0,0.0,75.0,84.0,66.0,30.0,20.0,25.0
2020-08-22,0.0,0.02,79.0,85.0,73.0,30.555555555555557,23.88888888888889,27.22222222222222
2020-08-23,0.0,0.0,80.0,86.0,74.0,31.11111111111111,24.444444444444443,27.77777777777778
2020-08-24,0.0,0.0,82.5,90.0,75.0,33.333333333333336,25.0,29.166666666666668
2020-08-25,0.0,0.58,82.0,91.0,73.0,33.888888888888886,23.88888888888889,28.88888888888889
2020-08-26,0.0,0.04,81.5,92.0,71.0,34.44444444444444,22.77777777777778,28.61111111111111
2020-08-27,0.0,0.0,80.5,87.0,74.0,31.666666666666668,24.444444444444443,28.055555555555557
2020-08-28,0.0,0.0,83.5,93.0,74.0,35.0,24.444444444444443,29.72222222222222
2020-08-29,0.0,1.2,82.5,93.0,72.0,35.0,23.333333333333332,29.166666666666668
2020-08-30,0.0,0.4,75.5,87.0,64.0,31.666666666666668,18.88888888888889,25.27777777777778
2020-08-31,0.0,0.0,74.5,83.0,66.0,29.444444444444443,20.0,24.72222222222222
2020-09-01,0.0,0.56,72.0,77.0,67.0,26.11111111111111,20.555555555555557,23.333333333333332
2020-09-02,0.0,0.02,77.0,82.0,72.0,28.88888888888889,23.333333333333332,26.11111111111111
2020-09-03,0.0,0.03,80.0,88.0,72.0,32.22222222222222,23.333333333333332,27.77777777777778
2020-09-04,0.0,1.58,82.0,92.0,72.0,34.44444444444444,23.333333333333332,28.88888888888889
2020-09-05,0.0,0.01,74.5,89.0,60.0,32.77777777777778,16.666666666666668,24.72222222222222
2020-09-06,0.0,0.0,71.0,82.0,60.0,28.88888888888889,16.666666666666668,22.77777777777778
2020-09-07,0.0,0.0,73.0,85.0,61.0,30.555555555555557,17.22222222222222,23.88888888888889
2020-09-08,0.0,0.0,,,,,,
2020-09-09,0.0,0.0,,,,,,
2020-09-10,0.0,0.36,75.5,79.0,72.0,27.22222222222222,23.333333333333332,25.27777777777778
2020-09-11,0.0,2.88,80.0,83.0,77.0,29.444444444444443,26.11111111111111,27.77777777777778
2020-09-12,0.0,0.12,76.0,84.0,68.0,30.0,21.11111111111111,25.555555555555557
2020-09-13,0.0,0.0,67.5,76.0,59.0,25.555555555555557,16.11111111111111,20.833333333333332
2020-09-14,0.0,0.0,74.5,82.0,67.0,28.88888888888889,20.555555555555557,24.72222222222222
2020-09-15,0.0,0.0,65.5,79.0,52.0,27.22222222222222,12.222222222222221,19.72222222222222
2020-09-16,0.0,0.0,60.5,70.0,51.0,22.22222222222222,11.666666666666666,16.944444444444443
2020-09-17,0.0,0.0,63.5,74.0,53.0,24.444444444444443,12.777777777777779,18.61111111111111
2020-09-18,0.0,0.39,69.5,74.0,65.0,24.444444444444443,19.444444444444443,21.944444444444443
2020-09-19,0.0,0.0,62.0,76.0,48.0,25.555555555555557,10.0,17.77777777777778
2020-09-20,0.0,0.0,54.5,66.0,43.0,20.0,7.222222222222222,13.61111111111111
2020-09-21,0.0,0.0,56.0,69.0,43.0,21.666666666666668,7.222222222222222,14.444444444444445
2020-09-22,0.0,0.0,55.0,68.0,42.0,21.11111111111111,6.666666666666667,13.88888888888889
2020-09-23,0.0,0.0,60.5,72.0,49.0,23.333333333333332,10.555555555555555,16.944444444444443
2020-09-24,0.0,0.0,68.0,81.0,55.0,28.333333333333332,13.88888888888889,21.11111111111111
2020-09-25,0.0,0.0,66.0,73.0,59.0,23.88888888888889,16.11111111111111,20.0
2020-09-26,0.0,0.86,65.5,69.0,62.0,21.666666666666668,17.77777777777778,19.72222222222222
2020-09-27,0.0,0.12,68.0,72.0,64.0,23.333333333333332,18.88888888888889,21.11111111111111
2020-09-28,0.0,0.02,72.5,78.0,67.0,26.666666666666668,20.555555555555557,23.61111111111111
2020-09-29,0.0,0.01,74.0,81.0,67.0,28.333333333333332,20.555555555555557,24.444444444444443
2020-09-30,0.0,0.37,68.0,81.0,55.0,28.333333333333332,13.88888888888889,21.11111111111111
2020-10-01,0.0,0.0,63.5,71.0,56.0,22.77777777777778,14.444444444444445,18.61111111111111
2020-10-02,0.0,0.18,65.0,74.0,56.0,24.444444444444443,14.444444444444445,19.444444444444443
2020-10-03,0.0,,,,,,,
2020-10-04,0.0,0.0,,,,,,
2020-10-05,0.0,0.05,,,,,,
2020-10-06,0.0,0.0,57.0,68.0,46.0,21.11111111111111,8.88888888888889,15.0
2020-10-07,0.0,0.0,64.5,73.0,56.0,23.88888888888889,14.444444444444445,19.166666666666668
2020-10-08,0.0,0.0,67.5,80.0,55.0,27.77777777777778,13.88888888888889,20.833333333333332
2020-10-09,0.0,0.0,58.0,71.0,45.0,22.77777777777778,8.333333333333334,15.555555555555555
2020-10-10,0.0,0.0,61.5,71.0,52.0,22.77777777777778,12.222222222222221,17.5
